ts,price,mrp,in_stock,seller,shipper
2026-08-12T16:07:31+00:00,594.00,1205.00,1,,
2026-08-12T17:08:10+00:00,594.00,1205.00,1,,
2026-08-12T18:03:35+00:00,594.00,1205.00,1,,
2026-08-12T19:15:55+00:00,594.00,1205.00,1,,
2026-08-12T20:06:10+00:00,594.00,1205.00,1,,
2026-08-12T20:58:59+00:00,594.00,1205.00,1,,
2026-08-12T21:42:50+00:00,594.00,1205.00,1,,
2026-08-12T22:23:32+00:00,594.00,1205.00,1,,
2026-08-12T23:08:54+00:00,594.00,1205.00,1,,
2026-08-12T23:54:55+00:00,594.00,1205.00,1,,
2026-08-13T01:40:54+00:00,594.00,1205.00,1,,
2026-08-13T03:53:39+00:00,594.00,1205.00,1,,
2026-08-13T05:37:27+00:00,594.00,1205.00,1,,
2026-08-13T07:01:36+00:00,594.00,1205.00,1,,
2026-08-13T08:25:22+00:00,594.00,1205.00,1,,
2026-08-13T09:39:45+00:00,594.00,1205.00,1,,
2026-08-13T10:41:52+00:00,594.00,1205.00,1,,
2026-08-13T11:26:40+00:00,594.00,1205.00,1,,
2026-08-13T12:08:09+00:00,594.00,1205.00,1,,
2026-08-13T13:39:40+00:00,594.00,1205.00,1,,
2026-08-13T15:36:49+00:00,594.00,1205.00,1,,
2026-08-13T16:30:41+00:00,594.00,1205.00,1,,
2026-08-13T17:29:32+00:00,594.00,1205.00,1,,
2026-08-13T18:26:59+00:00,594.00,1205.00,1,,
2026-08-13T19:33:36+00:00,594.00,1205.00,1,,
2026-08-13T20:08:46+00:00,594.00,1205.00,1,,
2026-08-13T20:58:58+00:00,594.00,1205.00,1,,
2026-08-13T21:42:24+00:00,594.00,1205.00,1,,
2026-08-13T22:24:26+00:00,594.00,1205.00,1,,
2026-08-13T23:11:31+00:00,594.00,1205.00,1,,
2026-08-13T23:55:58+00:00,594.00,1205.00,1,,
2026-08-14T01:39:36+00:00,594.00,1205.00,1,,
2026-08-14T03:50:31+00:00,594.00,1205.00,1,,
2026-08-14T05:20:46+00:00,594.00,1205.00,1,,
2026-08-14T06:48:04+00:00,594.00,1205.00,1,,
2026-08-14T08:03:06+00:00,594.00,1205.00,1,,
2026-08-14T09:14:25+00:00,594.00,1205.00,1,,
2026-08-14T10:19:31+00:00,594.00,1205.00,1,,
